Old Ingredients,Main Ingredient,Nb Words
allspice,,1
almond,,1
all-purpose flour,flour,2
amaretti,,1
anchovy,,1
anise,,1
apple juice,apple ,2
artichoke,,1
artichoke heart,artichoke,2
artichoke,,1
asparagus,,1
asparagus spear,asparagus,2
aubergine,,1
avocado,,1
bacon,,1
baguette,,1
baked beans,beans ,2
balsamic vinegar,vinegar,2
bamboo,,1
banana,,1
bap,,1
basil,,1
bay leaf,bay,2
bay leaves,bay,2
bean,,1
beef,,1
beef mince,beef,2
beef brisket,beef,2
beef stock,beef,2
bell pepper,,2
berry,,1
berries,,1
bicarbonate of soda,bicarbonate of soda,3
biscuit,,1
biscuit,,1
black olive,olive,2
black pepper,,2
black-eyed peas,peas,2
blueberries,,1
blueberry,,1
bonnet chilli,,2
bouillon,,1
bourbon,,1
braising steak,steak,2
bran,,1
brandy,,1
bread,,1
breadcrumbs,,1
bbq sauce,,2
habanero sauce,habanero,2
brie,,1
brine,,1
broccoli,,1
brown rice,rice,2
brown sauce,,2
brown sugar,,2
buckwheat,,1
buffalo,,1
bun,,1
butter,,1
buttermilk,,1
butternut,,1
butternut squash,butternut,2
butterscotch,,1
cabbage,,1
cake,,1
candy,,1
candies,,1
cannellini,,1
canola oil,oil,2
caper,,1
caramel,,1
caraway seed,,2
cardamom,,1
carrot,,1
carrot,,1
cashew,,1
caster sugar,,2
cayenne pepper,,2
celeriac,,1
celery,,1
cereal,,1
champagne,,1
chard,,1
cheddar cheese,cheese,2
cheese,,1
cherries,,1
cherry,,1
cherry tomatoe,tomato,2
chestnut,,1
chicken,,1
chicken breast,chicken,2
chicken drumstick,chicken,2
chicken stock,chicken,2
chicken thigh,chicken,2
chicken leg,chicken,2
chicken,,1
chickpea,,1
chicory,,1
chile,,1
chilli,,1
chillies,,1
chipotle,,1
chip,,1
chive,,1
chive,,1
chocolate,,1
chop,,1
choy,,1
chutney,,1
ciabatta,,1
cider,,1
cinnamon,,1
clam,,1
clarified butter,butter,2
clove,,1
cocoa,,1
coconut,,1
orange essence,orange,2
almond essence,almond,2
coconut milk,coconut milk,2
cod,,1
coffee,,1
coleslaw,,1
condensed milk,condensed milk,2
coriander,,1
coriander leaves,coriander,2
corn,,1
cornflour,,1
cornmeal,,1
courgette,,1
couscous,,1
cranberries,,1
cranberry,,1
cranberry juice,cranberry,2
cream,,1
single cream,cream,2
double cream,cream,2
sour cream,cream ,2
crﾏme fraiche,cream,2
crisp,,1
crust,,1
creme de cassis,creme de cassis,3
cucumber,,1
cumin,,1
custard,,1
dijon mustard,mustard,2
dill,,1
duck,,1
edamame bean,edamame,2
egg,,1
espresso,,1
fennel,,1
feta,,1
fig,,1
fillet steak,steak,2
filo pastry,filo pastry,2
fish,,1
flank,,1
flour,,1
focaccia,,1
foie gras,foie gras,2
fruit,,1
fudge,,1
garam masala,,2
garlic,,1
gelatine,,1
gin,,1
ginger,,1
glucose,,1
goat,,1
goat's cheese,cheese,2
golden syrup,golden syrup,2
gorgonzola,,1
gouda,,1
grape,,1
grapefruit,,1
grape,,1
grapeseed,,1
green olive,olive,2
green pepper,pepper,2
green,,1
gruyere,,1
gruyere cheese,cheese,2
haddock,,1
ham,,1
harissa,,1
herbs,,1
hoisin,,1
hoisin sauce,,2
honey,,1
honeydew melon,honeydew,2
horseradish,,1
iceberg lettuce,lettuce,2
icing sugar,,2
jalapeno pepper,jalapeno,2
juice,,1
julienne,,1
kalamata olives,olive,2
ketchup,,1
kidney bean,bean,2
lager,,1
lamb,,1
lard,,1
lardons,,1
lasagne,,1
lavender,,1
leek,,1
lemon,,1
lemongrass,,1
lentil,,1
lettuce,,1
lime,,1
limoncello,,1
lobster,,1
loin,,1
lychee,,1
macadamia nut,nut ,2
malt,,1
mangetout,,1
mango,,1
mangoes,,1
maple syrup,,2
marinara,,1
marshmallow,,1
marzano,,1
mascarpone,,1
mayonnaise,,1
meat,,1
melon,,1
milk,,1
mince,,1
mint,,1
miso soup,soup,2
molasses,,1
monterey jack,,2
mozzarella,,1
mushroom,,1
mustard,,1
new potato,potato,2
noodle,,1
nutella,,1
nutmeg,,1
nut,,1
oat,,1
oil,,1
okra,,1
olive oil,oil,2
olive,,1
onion,,1
onion ring,onion,2
orange,,1
orange juice,orange,2
oregano,,1
oyster,,1
pak choi,,2
pancetta,,1
panko,,1
papaya,,1
paprika,,1
parma ham,,2
parmesan,,1
parmigiano,,1
parmigiano-reggiano,,1
parsley,,1
parsnip,,1
passion fruit,fruit,2
pasta,,1
Pasta shell,pasta,2
pastry,,1
pea,,1
peach,,1
peaches,,1
peanut,,1
peanut,,1
